Date,Bat,Species,Sex,Band,Mass In (g),Mass Out (g),Ta (C),Ta Probe (C),Flow (mL/min),FiO2,FeO2,VO2 (mL/min),VO2 (mL/h),VO2 (mL/h/g)
,,,,,,,,,,,,,,
19-Oct-16,1,COTO,M,UR1837,10.2,10,35,35,100,0.2095,0.2065787,0.30161,18.09648,1.77416
,,,,,,,,,,,,,,
19-Oct-16,2,COTO,M,WCS274,14,13.3,35,35,100,0.2095,0.2064453,0.31538,18.92285,1.35163
,,,,,,,,,,,,,,
19-Oct-16,1,COTO,M,UR1837,10.2,10,6,6,50,0.2095,0.2092504,0.01288,0.77309,0.07731
,,,,,,,,,,,,,,
19-Oct-16,1,COTO,M,UR1837,10.2,10,4,4,50,0.2095,0.2093506,0.00771,0.46274,0.04627
,,,,,,,,,,,,,,
19-Oct-16,2,COTO,M,WCS274,14,13.3,4,4,50,0.2095,0.2088997,0.03099,1.85933,0.1398
,,,,,,,,,,,,,,
20-Oct-16,1,LANO,,UR1845,13.5,13,35,35,100,0.2095,0.2054597,0.41714,25.02831,1.85395
,,,,,,,,,,,,,,
20-Oct-16,2,LANO,,WCS331,12.8,12.6,35,35,100,0.2095,0.2080139,0.15343,9.2059,0.71921
,,,,,,,,,,,,,,
23-Oct-16,2,LANO,,WCS1832,12.8,12.6,35,35,100,0.2095,0.2077686,0.17876,10.72545,0.83793
,,,,,,,,,,,,,,
23-Oct-16,3,LANO,,UR1871,11.9,11.6,35,35,100,0.2095,0.2060255,0.35872,21.52337,1.80869
,,,,,,,,,,,,,,
23-Oct-16,4,LANO,,WCS269,11.8,11.3,35,35,100,0.2095,0.2067835,0.28046,16.82781,1.42609
,,,,,,,,,,,,,,
24-Oct-16,1,LANO,,UC0527,12.5,12.2,35,35,100,0.2095,0.207764,0.17923,10.75394,0.86032
,,,,,,,,,,,,,,
24-Oct-16,2,LANO,,UR1847,12.1,11.6,35,35,100,0.2095,0.20785,0.17035,10.2212,0.84473
,,,,,,,,,,,,,,
24-Oct-16,3,LANO,,UR1863,13.2,12.8,35,35,100,0.2095,0.2079283,0.16227,9.73616,0.73759
,,,,,,,,,,,,,,
26-Oct-16,4,LANO,,WCS483,14.8,14.2,35,35,100,0.2095,0.2081727,0.13704,8.22218,0.55555
,,,,,,,,,,,,,,
27-Oct-16,4,LANO,,UR0095,5.3,5.1,35,35,100,0.2095,0.2085928,0.09366,5.6198,1.06034
,,,,,,,,,,,,,,
7-Dec-15,1,LANO,,,11.2,10.8,8,8,50,0.2095,0.2094157,0.00435,0.26115,0.02418
,,,,,,,,,,,,,,
9-Dec-15,1,LANO,,WCS340,11.4,10.9,8,8,50,0.2095,0.2093246,0.00905,0.54322,0.04984
,,,,,,,,,,,,,,
20-Oct-16,1,LANO,,UR1845,13.5,13,8,8,50,0.2095,0.2093622,0.00711,0.42681,0.03283
,,,,,,,,,,,,,,
20-Oct-16,2,LANO,,WCS331,12.8,12.6,8,8,50,0.2095,0.2094013,0.0051,0.30571,0.02426
,,,,,,,,,,,,,,
21-Oct-16,1,LANO,,WCS367,12.7,12.2,8,8,50,0.2095,0.209419,0.00418,0.25088,0.02056
,,,,,,,,,,,,,,
21-Oct-16,2,LANO,,WCS1027,12.3,11.7,8,8,50,0.2095,0.2094024,0.00504,0.3023,0.02584
,,,,,,,,,,,,,,
21-Oct-16,3,LANO,,UR1809,13,12.2,8,8,50,0.2095,0.2094064,0.00483,0.28991,0.02376
,,,,,,,,,,,,,,
21-Oct-16,4,LANO,,UR1844,13.1,12.9,8,8,50,0.2095,0.2094353,0.00334,0.2004,0.01553
,,,,,,,,,,,,,,
24-Oct-16,1,LANO,,UC0527,12.5,12.2,8,8,50,0.2095,0.2094,0.00516,0.30973,0.02539
,,,,,,,,,,,,,,
24-Oct-16,2,LANO,,UR1847,12.1,11.6,8,8,50,0.2095,0.2094119,0.00455,0.27288,0.02352
,,,,,,,,,,,,,,
24-Oct-16,3,LANO,,UR1863,13.2,12.8,8,8,50,0.2095,0.2094378,0.00321,0.19265,0.01505
,,,,,,,,,,,,,,
26-Oct-16,4,LANO,,WCS483,14.8,14.2,8,8,50,0.2095,0.2093949,0.00543,0.32553,0.02292
,,,,,,,,,,,,,,
6-Dec-15,1,LANO,,,12.2,11.7,6,6,50,0.2095,0.2094193,0.00417,0.25009,0.02138
,,,,,,,,,,,,,,
6-Dec-15,2,LANO,,,10.9,10.4,6,6,50,0.2095,0.2094045,0.00493,0.29566,0.02843
,,,,,,,,,,,,,,
7-Dec-15,1,LANO,,,11.2,10.6,6,6,50,0.2095,0.2094207,0.0041,0.24571,0.02318
,,,,,,,,,,,,,,
9-Dec-15,1,LANO,,WCS340,11.4,10.7,6,6,50,0.2095,0.2094137,0.00445,0.26724,0.02498
,,,,,,,,,,,,,,
20-Oct-16,1,LANO,,UR1845,13.5,13,6,6,50,0.2095,0.2093589,0.00728,0.43703,0.03362
,,,,,,,,,,,,,,
20-Oct-16,2,LANO,,WCS331,12.8,12.6,6,6,50,0.2095,0.2093484,0.00783,0.46956,0.03727
,,,,,,,,,,,,,,
21-Oct-16,1,LANO,,WCS367,12.7,12.2,6,6,50,0.2095,0.2094163,0.00432,0.25925,0.02125
,,,,,,,,,,,,,,
21-Oct-16,2,LANO,,WCS1027,12.3,11.7,6,6,50,0.2095,0.2094232,0.00396,0.23788,0.02033
,,,,,,,,,,,,,,
21-Oct-16,3,LANO,,UR1809,13,12.2,6,6,50,0.2095,0.2094299,0.00362,0.21712,0.0178
,,,,,,,,,,,,,,
21-Oct-16,4,LANO,,UR1844,13.1,12.9,6,6,50,0.2095,0.2094447,0.00285,0.17128,0.01328
,,,,,,,,,,,,,,
6-Dec-15,1,LANO,,,12.2,11.5,4,4,50,0.2095,0.209437,0.00325,0.19513,0.01697
,,,,,,,,,,,,,,
6-Dec-15,2,LANO,,,10.9,10.3,4,4,50,0.2095,0.2094343,0.00339,0.20365,0.01977
,,,,,,,,,,,,,,
7-Dec-15,1,LANO,,,11.2,10.7,4,4,50,0.2095,0.2093829,0.00604,0.36266,0.03389
,,,,,,,,,,,,,,
9-Dec-15,1,LANO,,WCS340,11.4,10.9,4,4,50,0.2095,0.2094445,0.00286,0.17186,0.01577
,,,,,,,,,,,,,,
23-Oct-16,2,LANO,,WCS1832,12.8,12.6,4,4,50,0.2095,0.2094655,0.00178,0.10686,0.00848
,,,,,,,,,,,,,,
23-Oct-16,3,LANO,,UR1871,11.9,11.6,4,4,50,0.2095,0.2094326,0.00348,0.20876,0.018
,,,,,,,,,,,,,,
23-Oct-16,4,LANO,,WCS269,11.8,11.3,4,4,50,0.2095,0.2094155,0.00436,0.26172,0.02316
,,,,,,,,,,,,,,
24-Oct-16,1,LANO,,UC0527,12.5,12.2,4,4,50,0.2095,0.2093782,0.00629,0.37726,0.03092
,,,,,,,,,,,,,,
24-Oct-16,2,LANO,,UR1847,12.1,11.6,4,4,50,0.2095,0.2094515,0.0025,0.15022,0.01295
,,,,,,,,,,,,,,
24-Oct-16,3,LANO,,UR1863,13.2,12.8,4,4,50,0.2095,0.2094679,0.00166,0.09942,0.00777
,,,,,,,,,,,,,,
7-Dec-15,1,LANO,,,11.2,10.7,2,2,50,0.2095,0.2094114,0.00457,0.2744,0.02565
,,,,,,,,,,,,,,
9-Dec-15,1,LANO,,WCS340,11.4,11,2,2,50,0.2095,0.2094261,0.00382,0.22901,0.02082
,,,,,,,,,,,,,,
21-Oct-16,1,LANO,,WCS367,12.7,12.2,2,2,50,0.2095,0.2091825,0.01639,0.9834,0.08061
,,,,,,,,,,,,,,
21-Oct-16,2,LANO,,WCS1027,12.3,11.7,2,2,50,0.2095,0.2094141,0.00443,0.26606,0.02274
,,,,,,,,,,,,,,
21-Oct-16,3,LANO,,UR1809,13,12.2,2,2,50,0.2095,0.2094429,0.00295,0.17686,0.0145
,,,,,,,,,,,,,,
21-Oct-16,4,LANO,,UR1844,13.1,12.9,2,2,50,0.2095,0.2093926,0.00554,0.33265,0.02579
,,,,,,,,,,,,,,
23-Oct-16,2,LANO,,WCS1832,12.8,12.6,2,2,50,0.2095,0.2094137,0.00445,0.2673,0.02121
,,,,,,,,,,,,,,
23-Oct-16,3,LANO,,UR1871,11.9,11.6,2,2,50,0.2095,0.2094296,0.00363,0.21805,0.0188
,,,,,,,,,,,,,,
24-Oct-16,1,LANO,,UC0527,12.5,12.2,2,2,50,0.2095,0.2093914,0.00561,0.33637,0.02757
,,,,,,,,,,,,,,
24-Oct-16,2,LANO,,UR1847,12.1,11.6,2,2,50,0.2095,0.2093801,0.00619,0.37137,0.03201
,,,,,,,,,,,,,,
24-Oct-16,3,LANO,,UR1863,13.2,12.8,2,2,50,0.2095,0.2094363,0.00329,0.1973,0.01541
,,,,,,,,,,,,,,
26-Oct-16,4,LANO,,WCS483,14.8,14.2,2,2,50,0.2095,0.209459,0.00212,0.12699,0.00894
,,,,,,,,,,,,,,
27-Oct-16,1,LANO,,WCS499,13.2,11.6,2,2,50,0.2095,0.2094136,0.00446,0.26761,0.02307
,,,,,,,,,,,,,,
23-Oct-16,2,LANO,,WCS1832,12.8,12.6,0,0,50,0.2095,0.2093981,0.00526,0.31562,0.02505
,,,,,,,,,,,,,,
23-Oct-16,3,LANO,,UR1871,11.9,11.6,0,0,50,0.2095,0.2087081,0.04088,2.45278,0.21145
,,,,,,,,,,,,,,
23-Oct-16,4,LANO,,WCS269,11.8,11.3,0,0,50,0.2095,0.2094088,0.00471,0.28248,0.025
,,,,,,,,,,,,,,
27-Oct-16,1,LANO,,WCS499,13.2,11.6,0,0,50,0.2095,0.2077259,0.09158,5.49498,0.47371
,,,,,,,,,,,,,,
19-Oct-15,1,MYCA,M,UR0919,5.4,5.1,35,35,102,0.2095,0.2057261,0.48464,29.07821,5.38485
,,,,,,,,,,,,,,
19-Oct-15,2,MYCA,M,UR0937,5.2,4.8,35,35,105,0.2095,0.2071787,0.30743,18.44609,3.54733
,,,,,,,,,,,,,,
20-Oct-15,1,MYCA,F,UR0908,5.2,5.1,35,35,104,0.2095,0.2086146,0.11635,6.98108,1.34251
,,,,,,,,,,,,,,
20-Oct-16,3,MYCA,,UR0141,5.2,5,35,35,100,0.2095,0.2076406,0.19197,11.51836,2.21507
,,,,,,,,,,,,,,
20-Oct-16,4,MYCA,,UR0898,5.4,5.2,35,35,100,0.2095,0.2073869,0.21817,13.08995,2.42407
,,,,,,,,,,,,,,
22-Oct-16,1,MYCA,,WCS1015,5.7,5.4,35,35,100,0.2095,0.2080913,0.14544,8.72643,1.53095
,,,,,,,,,,,,,,
22-Oct-16,2,MYCA,,WCS1011,5.6,5.1,35,35,100,0.2095,0.2079303,0.16206,9.72377,1.73639
,,,,,,,,,,,,,,
22-Oct-16,3,MYCA,,WCS1013,5.8,5.5,35,35,100,0.2095,0.2077103,0.18478,11.0866,1.91148
,,,,,,,,,,,,,,
23-Oct-16,1,MYCA,,WCS1037,4.7,4.5,35,35,100,0.2095,0.2082982,0.12408,7.44475,1.58399
,,,,,,,,,,,,,,
25-Oct-16,1,MYCA,,WCS1002,5.7,5.3,35,35,100,0.2095,0.2082378,0.13032,7.81891,1.37174
,,,,,,,,,,,,,,
25-Oct-16,2,MYCA,,WCS1021,5.1,4.6,35,35,100,0.2095,0.2074447,0.2122,12.7319,2.49645
,,,,,,,,,,,,,,
26-Oct-16,1,MYCA,,UR0443,5.2,4.8,35,35,100,0.2095,0.2077943,0.1761,10.56624,2.03197
,,,,,,,,,,,,,,
26-Oct-16,2,MYCA,,WCS1035,6.1,5.6,35,35,100,0.2095,0.2086112,0.09176,5.50582,0.90259
,,,,,,,,,,,,,,
26-Oct-16,3,MYCA,,WCS0900,5.6,5.2,35,35,100,0.2095,0.2083418,0.11958,7.17466,1.28119
,,,,,,,,,,,,,,
27-Oct-16,1,LANO,,WCS499,13.2,11.6,35,35,100,0.2095,0.2045486,0.5112,30.67228,2.32366
,,,,,,,,,,,,,,
27-Oct-16,2,MYCA,,UR0097,5,4.8,35,35,100,0.2095,0.2086709,0.0856,5.136,1.0272
,,,,,,,,,,,,,,
27-Oct-16,3,MYCA,,UR0091,4.9,4.8,35,35,100,0.2095,0.2084069,0.11286,6.77139,1.38192
,,,,,,,,,,,,,,
19-Oct-15,2,MYCA,M,UR0937,5.2,4.8,8,8,47.8,0.2095,0.2094276,0.00438,0.26263,0.05471
,,,,,,,,,,,,,,
20-Oct-15,1,MYCA,F,UR0908,5.2,5.1,8,8,50.2,0.2095,0.2094374,0.00398,0.23851,0.04677
,,,,,,,,,,,,,,
7-Dec-15,2,MYCA,,,4.7,4.4,8,8,50,0.2095,0.2093949,0.00542,0.32543,0.07396
,,,,,,,,,,,,,,
9-Dec-15,2,MYCA,,WCS1057,5.1,4.9,8,8,50,0.2095,0.2093491,0.00779,0.46724,0.09535
,,,,,,,,,,,,,,
10-Dec-15,1,MYCA,,,5,4.6,8,8,50,0.2095,0.2094315,0.00354,0.21222,0.04613
,,,,,,,,,,,,,,
10-Dec-15,2,MYCA,,UR0916,5.9,5.6,8,8,50,0.2095,0.209417,0.00429,0.25723,0.04593
,,,,,,,,,,,,,,
10-Dec-15,3,MYCA,,WCS041,5.4,5,8,8,50,0.2095,0.2093873,0.00582,0.34893,0.06979
,,,,,,,,,,,,,,
10-Dec-15,4,MYCA,,UR0178,5.3,5,8,8,50,0.2095,0.2094144,0.00442,0.26508,0.05302
,,,,,,,,,,,,,,
20-Oct-16,3,MYCA,,UR0141,5.2,5,8,8,50,0.2095,0.2094589,0.00212,0.1273,0.02546
,,,,,,,,,,,,,,
20-Oct-16,4,MYCA,,UR0898,5.4,5.2,8,8,50,0.2095,0.209466,0.00176,0.10531,0.02025
,,,,,,,,,,,,,,
25-Oct-16,1,MYCA,,WCS1002,5.7,5.3,8,8,50,0.2095,0.2094601,0.00206,0.12358,0.02332
,,,,,,,,,,,,,,
25-Oct-16,4,MYCA,,WCS1031,5.3,5,8,8,50,0.2095,0.2094543,0.00236,0.14155,0.02831
,,,,,,,,,,,,,,
26-Oct-16,1,MYCA,,UR0443,5.2,4.8,8,8,50,0.2095,0.2094313,0.00355,0.21279,0.04433
,,,,,,,,,,,,,,
26-Oct-16,2,MYCA,,WCS1035,6.1,5.6,8,8,50,0.2095,0.2094196,0.00415,0.24903,0.04447
,,,,,,,,,,,,,,
26-Oct-16,3,MYCA,,WCS0900,5.6,5.2,8,8,50,0.2095,0.2094318,0.00352,0.21124,0.04062
,,,,,,,,,,,,,,
7-Dec-15,2,MYCA,,,4.7,4.4,6,6,50,0.2095,0.2094088,0.00471,0.28258,0.06422
,,,,,,,,,,,,,,
8-Dec-15,1,MYCA,,,5,4.6,6,6,50,0.2095,0.2094508,0.00254,0.15238,0.03313
,,,,,,,,,,,,,,
8-Dec-15,2,MYCA,,UR0450,6,5.8,6,6,50,0.2095,0.2094518,0.00249,0.14936,0.02575
,,,,,,,,,,,,,,
8-Dec-15,3,MYCA,,UR0924,5.9,5.6,6,6,50,0.2095,0.2094567,0.00224,0.13424,0.02397
,,,,,,,,,,,,,,
8-Dec-15,4,MYCA,,UR0946,5.5,5.2,6,6,50,0.2095,0.2094694,0.00158,0.09487,0.01824
,,,,,,,,,,,,,,
9-Dec-15,2,MYCA,,WCS1057,5.1,4.9,6,6,50,0.2095,0.2094335,0.00343,0.20605,0.04205
,,,,,,,,,,,,,,
10-Dec-15,1,MYCA,,,5,4.6,6,6,50,0.2095,0.2094506,0.00255,0.15305,0.03327
,,,,,,,,,,,,,,
10-Dec-15,2,MYCA,,UR0916,5.9,5.6,6,6,50,0.2095,0.209436,0.00331,0.1983,0.03541
,,,,,,,,,,,,,,
10-Dec-15,3,MYCA,,WCS041,5.4,5,6,6,50,0.2095,0.2094425,0.00297,0.17811,0.03562
,,,,,,,,,,,,,,
10-Dec-15,4,MYCA,,UR0178,5.3,5,6,6,50,0.2095,0.2094385,0.00318,0.19063,0.03813
,,,,,,,,,,,,,,
20-Oct-16,3,MYCA,,UR0141,5.2,5,6,6,50,0.2095,0.2094232,0.00396,0.23788,0.04758
,,,,,,,,,,,,,,
20-Oct-16,4,MYCA,,UR0898,5.4,5.2,6,6,50,0.2095,0.2094637,0.00187,0.11243,0.02162
,,,,,,,,,,,,,,
22-Oct-16,1,MYCA,,WCS1015,5.7,5.4,6,6,50,0.2095,0.2094013,0.0051,0.30571,0.05661
,,,,,,,,,,,,,,
22-Oct-16,3,MYCA,,WCS1013,5.8,5.5,6,6,50,0.2095,0.2094128,0.0045,0.27009,0.04911
,,,,,,,,,,,,,,
25-Oct-16,1,MYCA,,WCS1002,5.7,5.3,6,6,50,0.2095,0.2094495,0.00261,0.15642,0.02951
,,,,,,,,,,,,,,
25-Oct-16,2,MYCA,,WCS1021,5.1,4.6,6,6,50,0.2095,0.2094699,0.00155,0.09323,0.02027
,,,,,,,,,,,,,,
25-Oct-16,3,MYCA,,WCS1208,5.4,4.6,6,6,50,0.2095,0.2094641,0.00185,0.11119,0.02417
,,,,,,,,,,,,,,
25-Oct-16,4,MYCA,,WCS1031,5.3,5,6,6,50,0.2095,0.2094469,0.00274,0.16447,0.03289
,,,,,,,,,,,,,,
27-Oct-16,4,MYCA,,UR0095,5.3,5.1,6,0,50,0.2095,0.2094567,0.00224,0.13411,0.0263
,,,,,,,,,,,,,,
19-Oct-15,1,MYCA,M,UR0919,5.4,5.1,4,4,49.9,0.2095,0.2094329,0.00424,0.25416,0.04984
,,,,,,,,,,,,,,
19-Oct-15,2,MYCA,M,UR0937,5.2,4.8,4,4,48.4,0.2095,0.2094649,0.00215,0.12897,0.02687
,,,,,,,,,,,,,,
20-Oct-15,1,MYCA,F,UR0908,5.2,5.1,4,4,50.3,0.2095,0.2094597,0.00257,0.15402,0.0302
,,,,,,,,,,,,,,
7-Dec-15,2,MYCA,,,4.7,4.4,4,4,50,0.2095,0.2094181,0.00423,0.2536,0.05764
,,,,,,,,,,,,,,
8-Dec-15,1,MYCA,,,5,4.6,4,4,50,0.2095,0.2094414,0.00303,0.18159,0.03948
,,,,,,,,,,,,,,
8-Dec-15,2,MYCA,,UR0450,6,5.8,4,4,50,0.2095,0.2094514,0.00251,0.15043,0.02594
,,,,,,,,,,,,,,
8-Dec-15,3,MYCA,,UR0924,5.9,5.6,4,4,50,0.2095,0.2094567,0.00223,0.13408,0.02394
,,,,,,,,,,,,,,
8-Dec-15,4,MYCA,,UR0946,5.5,5.2,4,4,50,0.2095,0.2094587,0.00213,0.1279,0.0246
,,,,,,,,,,,,,,
9-Dec-15,2,MYCA,,WCS1057,5.1,4.9,4,4,50,0.2095,0.2094404,0.00308,0.18459,0.03767
,,,,,,,,,,,,,,
20-Oct-16,3,MYCA,,UR1845,5.2,5,4,4,50,0.2095,0.209463,0.00191,0.1146,0.02292
,,,,,,,,,,,,,,
22-Oct-16,1,MYCA,,WCS1015,5.7,5.4,4,4,50,0.2095,0.209468,0.00165,0.09911,0.01835
,,,,,,,,,,,,,,
22-Oct-16,2,MYCA,,WCS1011,5.6,5.1,4,4,50,0.2095,0.2094678,0.00166,0.09973,0.01956
,,,,,,,,,,,,,,
22-Oct-16,3,MYCA,,WCS1013,5.8,5.5,4,4,50,0.2095,0.2094633,0.00189,0.11367,0.02067
,,,,,,,,,,,,,,
23-Oct-16,1,MYCA,,WCS1037,4.7,4.5,4,4,50,0.2095,0.2094611,0.00201,0.12049,0.02677
,,,,,,,,,,,,,,
25-Oct-16,1,MYCA,,WCS1002,5.7,5.3,4,4,50,0.2095,0.2094598,0.00208,0.12451,0.02349
,,,,,,,,,,,,,,
25-Oct-16,2,MYCA,,WCS1021,5.1,4.6,4,4,50,0.2095,0.2094738,0.00135,0.08115,0.01764
,,,,,,,,,,,,,,
25-Oct-16,3,MYCA,,WCS1208,5.4,4.6,4,4,50,0.2095,0.2094227,0.00399,0.23942,0.05205
,,,,,,,,,,,,,,
19-Oct-15,1,MYCA,M,UR0919,5.4,5.1,2,2,50.2,0.2095,0.2094422,0.00367,0.22008,0.04315
,,,,,,,,,,,,,,
19-Oct-15,2,MYCA,M,UR0937,5.2,4.8,2,2,48.4,0.2095,0.2094381,0.00379,0.22737,0.04737
